"Foto","Nome","Partido","Estado","Cargo","O que os delatores dizem","Quem investiga"
"http://f.i.uol.com.br/folha/poder/images/15160526.jpeg","Afonso Hamm","PP","RS","Deputado federal","Recebia pagamentos mensais do esquema","STF"
"http://f.i.uol.com.br/folha/poder/images/15160525.jpeg","Aguinaldo Ribeiro","PP","PB","Deputado federal, ex-ministro das Cidades","Recebia pagamentos mensais do esquema e era um dos líderes que decidiam como distribuir os recursos no PP","STF"
"http://f.i.uol.com.br/folha/poder/images/15160524.jpeg","Aline Corrêa","PP","SP","Ex-deputada federal","Filha do ex-deputado Pedro Corrêa (PP-PE), condenado no mensalão, recebia pagamentos mensais do esquema","STF"
"http://f.i.uol.com.br/folha/poder/images/15160523.jpeg","Aníbal Ferreira Gomes","PMDB","CE","Deputado federal","Participou de reuniões em que o PMDB prometeu apoio político a Paulo Roberto Costa em troca do repasse de parte da propina recolhida pelo esquema. Pediu ajuda da Petrobras para o sindicato dos práticos e a empreiteira Serveng Civilsan","STF"
"http://f.i.uol.com.br/folha/poder/images/15160503.jpeg","Antônio Palocci","PT","SP","Ex-ministro da Fazenda e da Casa Civil","Recebeu R$ 2 milhões do esquema para a campanha presidencial de Dilma Rousseff em 2010","STF"
"http://f.i.uol.com.br/folha/poder/images/15160502.jpeg","Arthur de Lira","PP","AL","Deputado federal","Recebia pagamentos mensais do esquema e era um dos líderes que decidiam como distribuir os recursos no PP. Recebia propina de contratos da CBTU","STF"
"http://f.i.uol.com.br/folha/poder/images/15160501.jpeg","Benedito de Lira","PP","AL","Senador","Recebeu R$ 1 milhão na campanha de 2010. Recebia pagamentos mensais do esquema e era um dos líderes que decidiam como distribuir os recursos no PP. Recebia propina de contratos da CBTU","STF"
"http://f.i.uol.com.br/folha/poder/images/15160500.jpeg","Cândido Vaccarezza","PT","SP","Ex-deputado federal","Recebeu R$ 400 mil do esquema após a contratação de uma empresa americana para fornecer asfalto à Petrobras","STF"
"http://f.i.uol.com.br/folha/poder/images/15160499.jpeg","Carlos Magno Ramos","PP","RO","Ex-deputado federal","Recebia pagamentos mensais do esquema","STF"
"http://f.i.uol.com.br/folha/poder/images/15160498.jpeg","Ciro Nogueira","PP","PI","Senador","Recebia pagamentos mensais do esquema e era um dos líderes que decidiam como distribuir os recursos no PP","STF"
"http://f.i.uol.com.br/folha/poder/images/14188526.jpeg","Delcídio do Amaral ","PT","MS","Senador","Recebeu propina do esquema; a Procuradoria o acusa de tentar obstruir as investigações da Lava Jato","STF"
"http://f.i.uol.com.br/folha/poder/images/15160518.jpeg","Dilceu Sperafico","PP","PR","Deputado federal","Recebia pagamentos mensais do esquema","STF"
"http://f.i.uol.com.br/folha/poder/images/15251440.jpeg","Edinho Silva","PT","SP","Ministro da Comunicação Social","Pressionou a UTC a doar para a campanha à reeleição de Dilma em 2014","STF"
"http://f.i.uol.com.br/folha/poder/images/15160537.jpeg","Edison Lobão","PMDB","MA","Senador","Pediu R$ 3 milhões do esquema, incluindo contribuição para campanha de Roseana Sarney em 2010, e garantiu apoio político a Paulo Roberto Costa","STF"
"http://f.i.uol.com.br/folha/poder/images/15160536.jpeg","Eduardo Cunha","PMDB","RJ","Deputado federal","Recebeu dinheiro do esquema, incluindo propina cobrada num contrato de aluguel de navios-plataforma da Samsung ","STF"
"http://f.i.uol.com.br/folha/poder/images/15160535.jpeg","Eduardo da Fonte","PP","PE","Deputado federal","Recebia pagamentos mensais do esquema e articulou um pagamento de R$ 10 milhões ao PSDB para barrar uma CPI sobre a Petrobras em 2010","STF"
"http://f.i.uol.com.br/folha/poder/images/15160534.jpeg","Fernando Bezerra de Souza Coelho","PSB","PE","Senador","Recebeu R$ 20 milhões do esquema para a campanha de Eduardo Campos em 2010","STF"
"http://f.i.uol.com.br/folha/poder/images/15160533.jpeg","Fernando Collor de Mello","PTB","AL","Senador","Recebeu pagamentos do esquema, incluindo propina cobrada num contrato da BR Distribuidora","STF"
"http://f.i.uol.com.br/folha/poder/images/15160532.jpeg","Gladson Cameli","PP","AC","Senador","Recebia pagamentos mensais do esquema","STF"
"http://f.i.uol.com.br/folha/poder/images/15160544.jpeg","Gleisi Hoffmann","PT","PR","Senadora","Recebeu R$ 1 milhão do esquema para sua campanha ao Senado em 2010","STF"
"http://f.i.uol.com.br/folha/poder/images/15160543.jpeg","Humberto Costa","PT","PE","Senador","Recebeu R$ 1 milhão do esquema para sua campanha ao Senado em 2010","STF"
"http://f.i.uol.com.br/folha/poder/images/15351470.jpeg","Jader Barbalho","PMDB","PA","Senador","Recebeu propina do esquema","STF"
"http://f.i.uol.com.br/folha/poder/images/15160542.jpeg","Jerônimo Goergen","PP","RS","Deputado federal","Recebia pagamentos mensais do esquema","STF"
"http://f.i.uol.com.br/folha/poder/images/15160541.jpeg","João Leão","PP","BA","Ex-deputado federal, vice-governador da Bahia","Recebia pagamentos mensais do esquema","STF"
"http://f.i.uol.com.br/folha/poder/images/15160540.jpeg","João Pizzolatti","PP","SC","Ex-deputado federal, secretário do governo de Roraima","Recebia pagamentos mensais do esquema e era um dos líderes que decidiam como distribuir os recursos no PP. Recebeu comissões de empreiteiras que tinham contratos com a Petrobras e propina de um contrato do Denatran. Recebeu R$ 5.5 milhões na campanha de 2010","STF"
"http://f.i.uol.com.br/folha/poder/images/15160539.jpeg","João Sandes Junior","PP","GO","Deputado federal","Recebia pagamentos mensais do esquema","STF"
"http://f.i.uol.com.br/folha/poder/images/15160575.jpeg","João Vaccari Neto","PT","SP","Tesoureiro do PT","Era o operador responsável pela distribuição do dinheiro do esquema ao PT","STF"
"http://f.i.uol.com.br/folha/poder/images/15160574.jpeg","José Linhares","PP","CE","Ex-deputado federal","Recebia pagamentos mensais do esquema","STF"
"http://f.i.uol.com.br/folha/poder/images/15160573.jpeg","José Mentor","PT","SP","Deputado federal","Recebeu R$ 380 mil do esquema em 2014","STF"
"http://f.i.uol.com.br/folha/poder/images/15160570.jpeg","José Olimpio Silveira Moraes","PP","SP","Deputado federal","Recebia pagamentos mensais do esquema","STF"
"http://f.i.uol.com.br/folha/poder/images/15160572.jpeg","José Otávio Germano","PP","RS","Deputado federal","Recebia pagamentos mensais do esquema e pediu que a Petrobras contratasse a Fidens Engenharia","STF"
"http://f.i.uol.com.br/folha/poder/images/14045279.jpeg","Júlio Delgado","PSB","MG","Deputado federal","Recebeu R$ 150 mil da UTC","STF"
"http://f.i.uol.com.br/folha/poder/images/15160571.jpeg","Lázaro Botelho Martins","PP","TO","Deputado federal","Recebia pagamentos mensais do esquema","STF"
"http://f.i.uol.com.br/folha/poder/images/15160581.jpeg","Lindbergh Farias","PT","RJ","Senador","Recebeu R$ 2 milhões para a campanha ao Senado em 2010 e pediu ajuda a Paulo Roberto Costa para recolher doações na campanha de 2014","STF"
"http://f.i.uol.com.br/folha/poder/images/15160580.jpeg","Luiz Argôlo","SD","BA","Ex-deputado federal","Recebeu R$ 2,68 milhões do esquema e teve ajuda do doleiro Alberto Youssef para comprar um helicóptero ","STF"
"http://f.i.uol.com.br/folha/poder/images/15195245.jpeg","Luiz Carlos Heinze","PP","RS","Deputado federal","Recebia pagamentos mensais do esquema","STF"
"http://f.i.uol.com.br/folha/poder/images/15160578.jpeg","Luiz Fernando Faria","PP","MG","Deputado federal","Recebia pagamentos mensais do esquema e pediu que a Petrobras contratasse a Fidens Engenharia","STF"
"http://f.i.uol.com.br/folha/poder/images/15160577.jpeg","Luiz Fernando Pezão","PMDB","RJ","governador","Paulo Roberto Costa disse que trabalhou para arrecadar R$ 30 milhões de fornecedores da Petrobras para a campanha de Sérgio Cabral (PMDB) ao governo do Rio em 2010, quando Pezão era o vice da chapa","STJ"
"http://f.i.uol.com.br/folha/poder/images/15160576.jpeg","Mário Negromonte","PP","BA","Ex-deputado federal, ex-ministro das Cidades, conselheiro do TCE da Bahia","Recebia pagamentos mensais, era um dos líderes que decidiam como distribuir o dinheiro do PP e recebeu R$ 5 milhões em 2010","STF"
"http://f.i.uol.com.br/folha/poder/images/15352706.jpeg","Mário Negromonte Júnior","PP","BA","Deputado federal","Recebeu dinheiro do esquema por meio de doações oficiais","STF e STJ"
"http://f.i.uol.com.br/folha/poder/images/15160598.jpeg","Nelson Meurer","PP","PR","Deputado federal","Recebia pagamentos mensais do esquema e era um dos líderes que decidiam como distribuir os recursos no PP. Recebeu R$ 4 milhões na campanha de 2010","STF"
"http://f.i.uol.com.br/folha/poder/images/15160597.jpeg","Pedro Corrêa","PP","PE","Ex-deputado federal","O ex-deputado condenado no mensalão recebia pagamentos mensais do esquema e era um dos líderes que decidiam como distribuir o dinheiro do PP. Recebeu R$ 5.3 milhões na campanha de 2010","STF"
"http://f.i.uol.com.br/folha/poder/images/15160596.jpeg","Pedro Henry Neto","PP","MT","Ex-deputado federal","Recebia pagamentos mensais do esquema","STF"
"http://f.i.uol.com.br/folha/poder/images/15160595.jpeg","Renan Calheiros","PMDB","AL","Senador","Apoiou Paulo Roberto Costa em troca de propina para o PMDB, além de ter recebido propina em contratos da Transpetro e do sindicato dos práticos","STF"
"http://f.i.uol.com.br/folha/poder/images/15160593.jpeg","Renato Molling","PP","RS","Deputado federal","Recebia pagamentos mensais do esquema","STF"
"http://f.i.uol.com.br/folha/poder/images/15160594.jpeg","Roberto Balestra","PP","GO","Deputado federal","Recebia pagamentos mensais do esquema","STF"
"http://f.i.uol.com.br/folha/poder/images/15160625.jpeg","Roberto Britto","PP","BA","Deputado federal","Recebia pagamentos mensais do esquema","STF"
"http://f.i.uol.com.br/folha/poder/images/15160624.jpeg","Roberto Teixeira","PP","PE","Ex-deputado federal","Recebia pagamentos mensais do esquema","STF"
"http://f.i.uol.com.br/folha/poder/images/15160623.jpeg","Romero Jucá","PMDB","RR","Senador","Garantiu apoio político para Paulo Roberto Costa continuar na diretoria de Abastecimento da Petrobras em troca da destinação de parte da propina recolhida nos contratos da área para o PMDB","STF"
"http://f.i.uol.com.br/folha/poder/images/15160622.jpeg","Roseana Sarney","PMDB","MA","Ex-governadora","Recebeu do esquema R$ 2 milhões para sua campanha ao governo do Maranhão em 2010","STF"
"http://f.i.uol.com.br/folha/poder/images/15160621.jpeg","Sérgio Cabral","PMDB","RJ","ex-governador","Paulo Roberto Costa disse que trabalhou para arrecadar R$ 30 milhões de fornecedores da Petrobras para a campanha de Sérgio Cabral ao governo do Rio em 2010","STJ"
"http://f.i.uol.com.br/folha/poder/images/15160620.jpeg","Simão Sessim","PP","RJ","Deputado federal","Recebia pagamentos mensais do esquema e recebeu R$ 200 mil na campanha de 2010","STF"
"http://f.i.uol.com.br/folha/poder/images/15351475.jpeg","Solange Almeida","PMDB","RJ","Ex-deputada federal","A Procuradoria a acusa de ter usado o mandato na Câmara para ajudar Cunha a pressionar empresas a pagar propina","STF"
"http://f.i.uol.com.br/folha/poder/images/15160643.jpeg","Tião Viana","PT","AC","governador","Recebeu do esquema R$ 300 mil em 2010, quando concorreu ao governo do Acre","STJ"
"http://f.i.uol.com.br/folha/poder/images/15160642.jpeg","Valdir Raupp","PMDB","RO","Senador","Garantiu apoio político para Paulo Roberto Costa continuar na diretoria de Abastecimento da Petrobras em troca da destinação de parte da propina recolhida nos contratos da área para o PMDB. Recebeu R$ 500 mil do esquema na campanha de 2010","STF"
"http://f.i.uol.com.br/folha/poder/images/15160639.jpeg","Vander Loubet","PT","MS","Deputado federal","Recebeu valores do esquema por meio de uma empresa de fachada de Alberto Youssef","STF"
"http://f.i.uol.com.br/folha/poder/images/15160641.jpeg","Vilson Covatti","PP","RS","Ex-deputado federal","Recebia pagamentos mensais do esquema","STF"
"http://f.i.uol.com.br/folha/poder/images/15160640.jpeg","Waldir Maranhão Cardoso","PP","MA","Deputado federal","Recebia pagamentos mensais do esquema","STF"
"http://f.i.uol.com.br/folha/poder/images/16005292.jpeg","José Dirceu","PT","SP","Ex-ministro-chefe da Casa Civil","Recebeu propina em benefício próprio e para repasse ao PT","1ª instância"
"http://f.i.uol.com.br/folha/poder/images/16005293.jpeg","André Vargas","Ex-PT","PR","Ex-deputado federal","Recebeu propina de uma agência de publicidade em troca de contratos com a Caixa Econômica Federal","1ª instância"
