Data,Tipo,Nome,Foto,Nota
23/05/2016,Prisao,Joao Claudio Genu,http://s2.glbimg.com/MMHX8wK744a3XdBEprAwWyfqTSQ=/620x465/s.glbimg.com/jo/g1/f/original/2016/05/23/joao-claudio-genu.jpg,"Os procuradores da República da Operação Lava-Jato em Curitiba denunciaram João  Claudio Genu, ex-assessor parlamentar do ex-deputado José Janene (PP-PR) e ex-tesoureiro do Partido Progressista (PP) pelos crimes de pertinência à organização criminosa, corrupção passiva e lavagem de dinheiro envolvendo valores do esquema criminoso instalado na diretoria de abastecimento da Petrobras. Segundo a acusação, entre meados de 2008 e 3 de julho de 2013, Genu recebeu diretamente R$ 4,3 milhões, € 125 mil (R$ 475.000 mil) e US$ 390 mil (R$ 1,3 milhão) por intermédio de remessas periódicas de dinheiro em espécie feitas pelo doleiro Alberto Youssef"
12/04/2016,Prisao,Gim Argello,https://upload.wikimedia.org/wikipedia/commons/2/2e/Gim_argello.jpg,"O ex-senador é suspeito de receber R$ 5,35 milhões de propina de empreiteiros. Segundo as investigações, ele teria tomado dinheiro de Ricardo Pessoa, da UTC Engenharia, e de Léo Pinheiro, da OAS. Da UTC teria recebido R$ 5 milhões – valor destinado a quatro partidos nas eleições de 2014. Da OAS, outros R$ 350 mil, destinados à Paróquia São Pedro, em Taguatinga, cidade satélite de Brasília."
01/04/2016,Prisao,Silvio Pereira,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Silvio_Pereira.JPG/250px-Silvio_Pereira.JPG,"Ficou nacionalmente conhecido pelo seu envolvimento em escândalos de corrupção, ao ter recebido uma Land Rover de Cesar Oliveira, da GDK Egenharia, fornecedora da Petrobras, o que valeu ser chamado pela imprensa de Silvio Land Rover Pereira. No dia 30 de março de 2006, o Procurador Geral da República, Antonio Fernando de Souza, denunciou ao Supremo Tribunal Federal (STF), quarenta integrantes do mensalão. O Procurador descreveu o grupo como organização criminosa e atribuiu sua liderança a José Dirceu, José Genoino, Delúbio Soares e Sílvio Pereira. O STF recebeu a denúncia em relação a Silvio Pereira apenas quanto ao crime de quadrilha ou bando, rejeitando-a no casos dos demais crimes. Posteriormente, houve a extinção da punibilidade em razão do cumprimento de suspensão condicional do processo."
01/04/2016,Conducao,Delubio Soares,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/DelubioSoares113731.jpg/250px-DelubioSoares113731.jpg,"O STF (Supremo Tribunal Federal) condenou Delúbio Soares, ex-secretário de Finanças do PT (Partido dos Trabalhadores), a 8 anos e 11 meses de prisão pelos crimes de formação de quadrilha e corrupção ativa. O ex-tesoureiro também deverá pagar uma multa no valor de R$ 325 mil.
Ao julgar o crime de corrupção ativa, os ministros do STF seguiram o voto do relator Joaquim Barbosa, entendendo que Delúbio providenciou pagamentos que tinham como objetivo corromper deputados federais. Pelo crime, o réu foi condenado a 6 anos e 8 meses de detenção.
A maioria do Supremo não aceitou a tese da defesa do réu, o qual negou que o dinheiro tivesse sido usado para comprar o apoio de parlamentares na Câmara dos Deputados e confessou a ocorrência do crime eleitoral de caixa dois — montado para saldar dívidas de campanha dos partidos aliados, do qual Delúbio não foi acusado."
17/03/2014,Prisao,Alberto Youssef,https://upload.wikimedia.org/wikipedia/commons/5/5e/Alberto_Youssef.jpg,"Em 17 de março de 2014, a Polícia Federal iniciou com prisões temporárias e preventivas de 17 pessoas em sete estados, entre elas o doleiro Alberto Youssef. Foram apreendidos R$5 milhões em dinheiro e 25 carros de luxo, joias, quadros e armas."
20/03/2014,Prisao,Paulo Roberto Costa,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Paulo_Roberto_Costa-2015_05_05_1.jpg/250px-Paulo_Roberto_Costa-2015_05_05_1.jpg," Em 20 de março de 2014, a Polícia Federal cumpriu seis mandados de busca e um de prisão temporária, a do ex-diretor da Petrobras Paulo Roberto Costa."
11/06/2014,Prisao,Paulo Roberto Costa II,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Paulo_Roberto_Costa-2015_05_05_1.jpg/250px-Paulo_Roberto_Costa-2015_05_05_1.jpg,"Em 11 de junho de 2014, a Polícia Federal cumpriu um mandado de busca e um mandado de prisão preventiva, a de Paulo Roberto Costa, preso novamente"
14/11/2014,Prisao,José Adelmário Pinheiro Filho,https://assets.brasildefato.com.br/2024/09/image_processing20200201-29235-19r0q5t-750x536.jpg,"Presidente da OAS, o Leo Pinheiro, preso na 7ª fase."
14/11/2014,Prisao,Ricardo Ribeiro Pessoa,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRjl7GrdDzQ4Cp5US5grEo3cRN0eKNCh-mcAWLhUNchhhRYhccvTw1eCCxcQ-ltxBwmlZkP-Ugib98DdRd-8Qn9kn-Ah1SzY1yEObJgem8c,"Presidente da UTC, preso na 7ª fase."
14/11/2014,Prisao,Dalton dos Santos Avancini,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIJ7Z9_CDZZa57mKBlH0GTe1gd833KRR-Ydw&s,"Presidente da Camargo Correa, mandado de prisao expedido na 7ª fase, mas nao foi encontrado pela policia"
14/11/2014,Prisao,Ildefonso Colares Filho,http://gdpape.org/telas/Idelfonso_GL201114b.jpg,"Presidente da Queiroz Galvao, mandado de prisao expedido na manha do dia 14, se entregou a policia no fim da noite."
14/01/2015,Prisao,Nestor Cervero,https://veja.abril.com.br/wp-content/uploads/2016/06/nestor-cervero-2014-123-original.jpeg?quality=70&strip=info,"Em 14 de janeiro de 2015 a Polícia Federal cumpriu um mandado de prisão preventiva contra Nestor Cerveró, acusado de estar se desfazendo de patrimônio que poderia ter sido auferido ilicitamente. Cerveró foi detido ao desembarcar no Aeroporto Internacional Tom Jobim, no Rio de Janeiro"
04/03/2016,Busca,Instituto Lula,https://pbs.twimg.com/profile_images/1963868616/institutolula_200x200.jpg,"O Instituto Lula, que também foi alvo da operação, avaliou a ação da PF como ~arbitrária, ilegal e injustificável~"
04/03/2016,Conducao,Lula,http://s2.glbimg.com/E78WWWHykBEG58k9yIyE59HwzYc=/200x200/s.glbimg.com/jo/g1/f/original/2015/10/23/lula5.jpg,"Em nota o Partido dos Trabalhadores declarou que ~A condução coercitiva do ex-presidente Luiz  Inácio Lula da Silva representa um ataque à democracia e à Constituição.Trata-se de novo e indigno capítulo na escalada golpista que busca desestabilizar o governo da presidente Dilma Rousseff, criminalizar o Partido dos Trabalhadores e combater o principal líder do povo brasileiro~, escreveu Rui Falcão, então presidente da sigla. O Ministério Público Federal emitiu nota de esclarecimento justificando a condução coercitiva pois ~Após ser intimado e ter tentado diversas medidas para protelar esse depoimento, incluindo inclusive um habeas corpus perante o TJSP, o senhor Luiz Inácio Lula da Silva manifestou sua recusa em comparecer.~ A recusa refere-se ao documento protocolado pelos advogados do ex-presidente e de sua esposa, afirmando a intenção de que ~Lula e Marisa prestarão todos os esclarecimentos por escrito e não em audiência [para novo depoimento marcado pelo promotor de justiça].~ A nota fora repudiada pelos advogados de Lula"